,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit,Monounsaturated Fat Amount,Monounsaturated Fat Unit
850,starbucks,espresso macchiato with almond milk quad,0,g,0,mg,0,g,4,g,2,g,0,g,0,g,0,g,0,g,,
851,starbucks,espresso macchiato with almond milk solo,0,g,0,mg,0,g,1,g,0,g,0,g,0,g,0,g,0,g,,
852,starbucks,espresso macchiato with almond milk triple,0,g,0,mg,0,g,2,g,1,g,0,g,0,g,0,g,0,g,,
853,starbucks,espresso macchiato with coconut milk doppio,0,g,0,mg,0,g,2,g,1,g,0,g,0,g,0,g,0,g,,
854,starbucks,espresso macchiato with coconut milk quad,0,g,0,mg,0,g,4,g,2,g,0,g,0,g,0,g,0,g,,
855,starbucks,espresso macchiato with coconut milk solo,0,g,0,mg,0,g,1,g,0,g,0,g,0,g,0,g,0,g,,
856,starbucks,espresso macchiato with coconut milk triple,0,g,0,mg,0,g,3,g,1,g,0,g,0,g,0,g,0,g,,
857,starbucks,espresso macchiato with nonfat milk doppio,0,g,0,mg,0,g,2,g,1,g,0,g,0,g,0,g,0,g,,
858,starbucks,espresso macchiato with nonfat milk quad,0,g,0,mg,0,g,4,g,2,g,0,g,0,g,0,g,0,g,,
859,starbucks,espresso macchiato with nonfat milk solo,0,g,0,mg,0,g,1,g,0,g,0,g,0,g,0,g,0,g,,
860,starbucks,espresso macchiato with nonfat milk triple,0,g,0,mg,0,g,3,g,1,g,0,g,0,g,0,g,0,g,,
861,starbucks,espresso macchiato with soy milk doppio,0,g,0,mg,0,g,2,g,1,g,0,g,0,g,0,g,0,g,,
862,starbucks,espresso macchiato with soy milk quad,0,g,0,mg,0,g,4,g,2,g,0,g,0,g,0,g,0,g,,
863,starbucks,espresso macchiato with soy milk solo,0,g,0,mg,0,g,1,g,0,g,0,g,0,g,0,g,0,g,,
864,starbucks,espresso macchiato with soy milk triple,0,g,0,mg,0,g,3,g,1,g,0,g,0,g,0,g,0,g,,
865,starbucks,espresso macchiato with whole milk doppio,0,g,0,mg,0,g,2,g,1,g,0,g,0,g,0,g,0,g,,
866,starbucks,espresso macchiato with whole milk quad,0,g,0,mg,0,g,4,g,2,g,0,g,0,g,0,g,0,g,,
867,starbucks,espresso macchiato with whole milk solo,0,g,0,mg,0,g,1,g,0,g,0,g,0,g,0,g,0,g,,
868,starbucks,espresso macchiato with whole milk triple,0,g,0,mg,0,g,3,g,1,g,0,g,0,g,0,g,0,g,,
869,starbucks,espresso doppio,0,g,0,mg,0,g,2,g,1,g,0,g,0,g,0,g,0,g,,
870,starbucks,espresso quad,0,g,0,mg,0,g,4,g,2,g,0,g,0,g,0,g,0,g,,
871,starbucks,espresso solo,0,g,0,mg,0,g,1,g,0,g,0,g,0,g,0,g,0,g,,
872,starbucks,espresso triple,0,g,0,mg,0,g,3,g,2,g,0,g,0,g,0,g,0,g,,
873,starbucks,everybodys favorite bantam bagels 2 pack,3.5,g,10,mg,140,g,14,g,3,g,2,g,0,g,0,g,1,g,,
874,starbucks,everything bagel with cheese,3.5,g,5,mg,0,g,53,g,11,g,1.5,g,0,g,2,g,5,g,,
875,starbucks,farmers market protein box,29,g,60,mg,880,g,29,g,21,g,10,g,0,g,4,g,12,g,,
876,starbucks,flat white with 2 milk grande,7,g,30,mg,160,g,18,g,12,g,4.5,g,0,g,0,g,17,g,,
877,starbucks,flat white with 2 milk short,3.5,g,15,mg,80,g,9,g,6,g,2,g,0,g,0,g,8,g,,
878,starbucks,flat white with 2 milk tall,5,g,20,mg,130,g,14,g,9,g,3.5,g,0,g,0,g,13,g,,
879,starbucks,flat white with 2 milk venti,9,g,35,mg,220,g,24,g,16,g,6,g,0,g,0,g,22,g,,
880,starbucks,flat white with almond milk grande,6,g,0,mg,160,g,9,g,3,g,0,g,0,g,2,g,5,g,,
881,starbucks,flat white with almond milk short,3,g,0,mg,75,g,5,g,1,g,0,g,0,g,1,g,2,g,,
882,starbucks,flat white with almond milk tall,4.5,g,0,mg,120,g,7,g,2,g,0,g,0,g,1,g,4,g,,
883,starbucks,flat white with almond milk venti,8,g,0,mg,210,g,11,g,4,g,0.5,g,0,g,2,g,7,g,,
884,starbucks,flat white with coconut milk grande,8,g,0,mg,140,g,14,g,1,g,7,g,0,g,0,g,11,g,,
885,starbucks,flat white with coconut milk short,4,g,0,mg,70,g,7,g,1,g,3.5,g,0,g,0,g,5,g,,
886,starbucks,flat white with coconut milk tall,6,g,0,mg,110,g,11,g,1,g,6,g,0,g,0,g,9,g,,
887,starbucks,flat white with coconut milk venti,10,g,0,mg,190,g,18,g,2,g,10,g,0,g,0,g,15,g,,
888,starbucks,flat white with nonfat milk grande,0,g,5,mg,150,g,19,g,12,g,0,g,0,g,0,g,17,g,,
889,starbucks,flat white with nonfat milk short,0,g,5,mg,70,g,9,g,6,g,0,g,0,g,0,g,8,g,,
890,starbucks,flat white with nonfat milk tall,0,g,5,mg,115,g,15,g,10,g,0,g,0,g,0,g,13,g,,
891,starbucks,flat white with nonfat milk venti,0,g,10,mg,190,g,24,g,16,g,0,g,0,g,0,g,23,g,,
892,starbucks,flat white with soy milk grande,5,g,0,mg,130,g,24,g,10,g,0.5,g,0,g,1,g,18,g,,
893,starbucks,flat white with soy milk short,2.5,g,0,mg,65,g,12,g,5,g,0,g,0,g,1,g,9,g,,
894,starbucks,flat white with soy milk tall,4,g,0,mg,100,g,18,g,8,g,0.5,g,0,g,1,g,14,g,,
895,starbucks,flat white with soy milk venti,7,g,0,mg,170,g,30,g,13,g,1,g,0,g,2,g,23,g,,
896,starbucks,flat white with whole milk grande,11,g,35,mg,150,g,18,g,12,g,7,g,0,g,0,g,17,g,,
897,starbucks,flat white with whole milk short,5,g,15,mg,70,g,9,g,6,g,3,g,0,g,0,g,8,g,,
898,starbucks,flat white with whole milk tall,9,g,25,mg,115,g,14,g,9,g,5,g,0,g,0,g,13,g,,
899,starbucks,flat white with whole milk venti,15,g,45,mg,200,g,24,g,15,g,9,g,0,g,0,g,22,g,,
900,starbucks,fox cookie,17,g,25,mg,120,g,35,g,3,g,11,g,0,g,1,g,18,g,,
901,starbucks,frappuccino chilled coffee drink,4.5,g,20,mg,140,g,54,g,9,g,3,g,0,g,0,g,47,g,,
902,starbucks,frappuccino cookie straw,3,g,0,mg,30,g,14,g,1,g,2,g,0,g,0,g,9,g,,
903,starbucks,french roast dark roast ground 100 arabica coffee,0.05,g,0,mg,4.74,g,0,g,0.28,g,0,g,0,g,0,g,0,g,0.04,g
904,starbucks,french toast bantam bagels 2 pack,8,g,20,mg,360,g,30,g,6,g,4,g,0,g,0,g,4,g,,
905,starbucks,fresh blueberries and honey greek yogurt parfait,2.5,g,5,mg,100,g,42,g,14,g,0,g,0,g,2,g,29,g,,
906,starbucks,garden greens and shaved parmesan side salad,13,g,10,mg,600,g,9,g,7,g,4,g,0,g,2,g,4,g,,
907,starbucks,ginger ale grande,0,g,0,mg,15,g,27,g,0,g,0,g,0,g,0,g,26,g,,
908,starbucks,ginger ale tall,0,g,0,mg,10,g,21,g,0,g,0,g,0,g,0,g,20,g,,
909,starbucks,ginger ale trenta,0,g,0,mg,25,g,54,g,0,g,0,g,0,g,0,g,52,g,,
910,starbucks,ginger ale venti,0,g,0,mg,20,g,41,g,0,g,0,g,0,g,0,g,39,g,,
911,starbucks,gingerbread creme frappuccino with 2 milk and no whip grande,2.5,g,10,mg,230,g,45,g,4,g,1.5,g,0,g,0,g,45,g,,
