,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit,Polyunsaturated Fat Amount,Polyunsaturated Fat Unit
563,pizza hut,new york style cheesecake with caramel sauce,57,g,290,mg,800,g,90,g,14,g,32,g,2.5,g,2,g,69,g,,
564,pizza hut,new york style cheesecake with cherry sauce,57,g,290,mg,760,g,101,g,15,g,32,g,2.5,g,3,g,80,g,,
565,pizza hut,ohios best local specialty large hand tossed slice,15,g,35,mg,670,g,36,g,14,g,6,g,0,g,3,g,3,g,,
566,pizza hut,ohios best local specialty large original pan slice,21,g,35,mg,790,g,38,g,16,g,7,g,0,g,3,g,3,g,,
567,pizza hut,ohios best local specialty large original stuffed crust slice,19,g,45,mg,820,g,37,g,16,g,8,g,0,g,3,g,3,g,,
568,pizza hut,ohios best local specialty large thin n crispy slice,15,g,35,mg,750,g,31,g,14,g,6,g,0,g,3,g,5,g,,
569,pizza hut,ohios best local specialty medium hand tossed slice,10,g,25,mg,480,g,27,g,10,g,4.5,g,0,g,2,g,2,g,,
570,pizza hut,ohios best local specialty medium original pan slice,14,g,25,mg,540,g,29,g,11,g,5,g,0,g,2,g,2,g,,
571,pizza hut,ohios best local specialty medium thin n crispy slice,11,g,25,mg,540,g,24,g,10,g,4.5,g,0,g,2,g,4,g,,
572,pizza hut,ohios best local specialty personal pan pizza slice,9,g,15,mg,370,g,18,g,7,g,3,g,0,g,2,g,2,g,,
573,pizza hut,ohios best local specialty rectangle slice,13,g,25,mg,550,g,30,g,11,g,4.5,g,0,g,3,g,2,g,,
574,pizza hut,ohios best local specialty small hand tossed slice,6,g,15,mg,300,g,17,g,6,g,2.5,g,0,g,1,g,1,g,,
575,pizza hut,ohios best local specialty small thin n crispy slice,6,g,15,mg,320,g,14,g,6,g,2.5,g,0,g,1,g,2,g,,
576,pizza hut,old fashioned breadsticks local specialty 1 10 large each,6,g,15,mg,370,g,27,g,9,g,3,g,0,g,1,g,0,g,,
577,pizza hut,old fashioned breadsticks local specialty 1 8 medium each,5,g,15,mg,310,g,26,g,8,g,2.5,g,0,g,1,g,0,g,,
578,pizza hut,pzone meaty with marinara sauce,50,g,120,mg,2270,g,124,g,50,g,21,g,1,g,9,g,9,g,,
579,pizza hut,pzone pepperoni with marinara sauce,34,g,85,mg,1780,g,123,g,42,g,16,g,1,g,9,g,8,g,,
580,pizza hut,pzone supremo with marinara sauce,35,g,80,mg,1760,g,125,g,42,g,16,g,0.5,g,9,g,9,g,,
581,pizza hut,pepperoni 18 inch slice,14,g,35,mg,800,g,50,g,17,g,6,g,0,g,4,g,3,g,,
582,pizza hut,pepperoni big new yorker slice,13,g,30,mg,630,g,47,g,15,g,6,g,0,g,3,g,2,g,,
583,pizza hut,pepperoni express personal pan pizza,7,g,15,mg,330,g,17,g,6,g,2.5,g,0,g,1,g,2,g,,
584,pizza hut,pepperoni heart shape pizza,72,g,180,mg,3120,g,152,g,67,g,31,g,2,g,12,g,9,g,,
585,pizza hut,pepperoni large hand tossed slice,13,g,30,mg,590,g,34,g,13,g,6,g,0,g,3,g,2,g,,
586,pizza hut,pepperoni large original pan slice,18,g,35,mg,680,g,36,g,15,g,6,g,0,g,2,g,2,g,,
587,pizza hut,pepperoni large original stuffed crust slice,16,g,45,mg,730,g,35,g,15,g,7,g,0,g,2,g,2,g,,
588,pizza hut,pepperoni large thin n crispy slice,13,g,35,mg,660,g,29,g,13,g,6,g,0,g,2,g,4,g,,
589,pizza hut,pepperoni medium hand tossed slice,9,g,20,mg,420,g,25,g,9,g,4,g,0,g,2,g,1,g,,
590,pizza hut,pepperoni medium original pan slice,11,g,25,mg,470,g,28,g,10,g,4.5,g,0,g,2,g,1,g,,
591,pizza hut,pepperoni medium thin n crispy slice,9,g,25,mg,480,g,22,g,9,g,4,g,0,g,2,g,3,g,,
592,pizza hut,pepperoni personal pan pizza slice,7,g,15,mg,310,g,17,g,6,g,2.5,g,0,g,1,g,2,g,,
593,pizza hut,pepperoni rectangle pan slice,11,g,20,mg,490,g,28,g,10,g,4,g,0,g,2,g,1,g,,
594,pizza hut,pepperoni small express hand tossed pizza,9,g,20,mg,430,g,31,g,11,g,4,g,0,g,2,g,1,g,,
595,pizza hut,pepperoni small hand tossed slice,5,g,10,mg,260,g,16,g,6,g,2,g,0,g,1,g,1,g,,
596,pizza hut,pepperoni small thin n crispy slice,4.5,g,15,mg,270,g,13,g,5,g,2,g,0,g,1,g,2,g,,
597,pizza hut,pepperoni udis gluten free crust,5,g,15,mg,260,g,14,g,4,g,2,g,0,g,1,g,2,g,,
598,pizza hut,pepperoni jalapeno express personal pan pizza,6,g,10,mg,400,g,17,g,6,g,2,g,0,g,1,g,2,g,,
599,pizza hut,pepperoni jalapeno small express hand tossed pizza,9,g,20,mg,700,g,32,g,10,g,3.5,g,0,g,2,g,1,g,,
600,pizza hut,pepperoni lovers 18 inch slice,20,g,55,mg,980,g,51,g,22,g,10,g,0.5,g,4,g,3,g,,
601,pizza hut,pepperoni lovers big new yorker slice,18,g,50,mg,840,g,48,g,19,g,8,g,0,g,4,g,2,g,,
602,pizza hut,pepperoni lovers express personal pan pizza,9,g,20,mg,390,g,18,g,8,g,3.5,g,0,g,1,g,2,g,,
603,pizza hut,pepperoni lovers heart shape pizza,101,g,270,mg,3970,g,156,g,88,g,45,g,2.5,g,14,g,11,g,,
604,pizza hut,pepperoni lovers large hand tossed slice,18,g,50,mg,740,g,35,g,17,g,8,g,0,g,3,g,2,g,,
605,pizza hut,pepperoni lovers large original pan slice,24,g,50,mg,850,g,37,g,19,g,9,g,0.5,g,3,g,2,g,,
606,pizza hut,pepperoni lovers large original stuffed crust slice,20,g,55,mg,850,g,35,g,18,g,9,g,0.5,g,3,g,2,g,,
607,pizza hut,pepperoni lovers large thin n crispy slice,18,g,55,mg,830,g,30,g,17,g,9,g,0.5,g,2,g,4,g,,
608,pizza hut,pepperoni lovers medium hand tossed slice,13,g,35,mg,530,g,26,g,12,g,6,g,0,g,2,g,1,g,,
609,pizza hut,pepperoni lovers medium original pan slice,15,g,35,mg,580,g,28,g,13,g,6,g,0,g,2,g,1,g,,
610,pizza hut,pepperoni lovers medium thin n crispy slice,13,g,40,mg,600,g,22,g,12,g,6,g,0,g,2,g,3,g,,
611,pizza hut,pepperoni lovers personal pan pizza slice,9,g,20,mg,370,g,17,g,8,g,3.5,g,0,g,1,g,2,g,,
612,pizza hut,pepperoni lovers rectangle slice,14,g,35,mg,590,g,29,g,13,g,6,g,0,g,2,g,1,g,,
613,pizza hut,pepperoni lovers small express hand tossed pizza,13,g,35,mg,540,g,32,g,13,g,6,g,0,g,2,g,1,g,,
614,pizza hut,pepperoni lovers small hand tossed slice,7,g,20,mg,310,g,17,g,7,g,3,g,0,g,1,g,1,g,,
615,pizza hut,pepperoni lovers small thin n crispy slice,6,g,20,mg,330,g,13,g,6,g,3,g,0,g,1,g,2,g,,
616,pizza hut,pepperoni lovers udis gluten free crust,7,g,20,mg,320,g,14,g,6,g,3,g,0,g,1,g,2,g,,
617,pizza hut,pepperoni lovers the edge slice limited time,11,g,35,mg,700,g,14,g,11,g,6,g,0,g,2,g,2,g,,
618,pizza hut,pepsi 2 l,0,g,0,mg,170,g,229,g,0,g,0,g,0,g,0,g,229,g,,
619,pizza hut,pepsi 20 fl oz,0,g,0,mg,55,g,69,g,0,g,0,g,0,g,0,g,69,g,,
620,pizza hut,premium beer,0,g,0,mg,15,g,13,g,2,g,0,g,0,g,0,g,0,g,,
621,pizza hut,ranch dipping sauce,22,g,10,mg,400,g,2,g,0,g,3.5,g,0,g,0,g,2,g,,
622,pizza hut,ranch dressing cup side salad,11,g,10,mg,290,g,2,g,1,g,2,g,0,g,0,g,2,g,,
623,pizza hut,ranch dressing dipping cup 2 oz,18,g,15,mg,450,g,3,g,2,g,3,g,0,g,0,g,3,g,,
624,pizza hut,ranch dressing for entree shared salad,23,g,15,mg,570,g,4,g,2,g,3.5,g,0,g,0,g,4,g,,
625,pizza hut,ranch rub bone out wing each,4,g,10,mg,200,g,6,g,5,g,1,g,0,g,0,g,0,g,,
626,pizza hut,ranch rub traditional bone in wing each,4.5,g,45,mg,200,g,1,g,9,g,1,g,0,g,0,g,0,g,,
627,pizza hut,red wine,0,g,0,mg,10,g,5,g,0,g,0,g,0,g,0,g,1,g,,
628,pizza hut,roasted turkey and provolone sandwich w potato chips,39,g,65,mg,2380,g,90,g,38,g,9,g,0,g,4,g,10,g,,
629,pizza hut,roasted turkey and provolone sandwich w straight cut fries,53,g,65,mg,3190,g,134,g,40,g,13,g,0.5,g,7,g,11,g,,
630,pizza hut,roasted turkey and provolone sandwich with bacon w potato chips,45,g,75,mg,2500,g,90,g,41,g,12,g,0,g,4,g,10,g,,
631,pizza hut,roasted turkey and provolone sandwich with bacon w straight cut fries,59,g,80,mg,3300,g,134,g,43,g,15,g,0.5,g,7,g,11,g,,
632,pizza hut,romano dressing for entree shared salad,33,g,20,mg,850,g,6,g,2,g,6,g,0,g,0,g,6,g,,
633,pizza hut,sampler platter local specialty full order w marinara ranch and honey mustard cups,153,g,135,mg,4650,g,204,g,53,g,42,g,2,g,15,g,28,g,,
634,pizza hut,sampler platter local specialty half order w marinara ranch and honey mustard cups,95,g,80,mg,2840,g,114,g,28,g,24,g,1,g,9,g,23,g,,
635,pizza hut,saucy bbq wing 1,3.5,g,30,mg,230,g,2,g,5,g,1,g,0,g,0,g,1,g,,
636,pizza hut,saucy buffalo wing 1,3.5,g,30,mg,260,g,1,g,5,g,1,g,0,g,0,g,0,g,,
637,pizza hut,sausage biscuit,28,g,40,mg,900,g,25,g,12,g,11,g,0,g,1,g,1,g,,
638,pizza hut,sausage italiano bake with garlic bread,49,g,110,mg,1780,g,62,g,37,g,21,g,1.5,g,4,g,8,g,,
639,pizza hut,sausage italiano bake with roasted vegetables with garlic bread,51,g,110,mg,1790,g,65,g,37,g,21,g,2,g,5,g,9,g,,
640,pizza hut,sausage egg and cheese biscuit,40,g,195,mg,1490,g,28,g,20,g,17,g,0.5,g,1,g,3,g,,
641,pizza hut,sauteed bacon carbonara w garlic bread,75,g,60,mg,1640,g,97,g,39,g,19,g,0.5,g,7,g,6,g,,
642,pizza hut,sauteed chicken alfredo w garlic bread,64,g,65,mg,1500,g,105,g,43,g,14,g,0.5,g,7,g,7,g,,
643,pizza hut,sauteed chicken florentine w garlic bread,64,g,65,mg,1620,g,99,g,41,g,14,g,0.5,g,7,g,5,g,,
644,pizza hut,sauteed pomodoro pasta w garlic bread local specialty,31,g,45,mg,2080,g,89,g,31,g,6,g,0,g,6,g,10,g,,
645,pizza hut,sauteed sausage and pepper rustica with garlic bread,48,g,45,mg,1880,g,119,g,32,g,13,g,0.5,g,17,g,14,g,,
646,pizza hut,sauteed spaghetti with alfredo w garlic bread,62,g,25,mg,1220,g,104,g,31,g,13,g,0.5,g,6,g,7,g,,
647,pizza hut,sauteed spaghetti with marinara w garlic bread,34,g,10,mg,1410,g,114,g,25,g,7,g,0.5,g,13,g,12,g,,
648,pizza hut,sauteed spaghetti with meat sauce w garlic bread,43,g,35,mg,1710,g,118,g,33,g,10,g,0.5,g,14,g,13,g,,
649,pizza hut,shiner,0,g,0,mg,15,g,13,g,2,g,0,g,0,g,0,g,0,g,,
650,pizza hut,smaller appetite bone out wings garlic parmesan w straight cut fries,51,g,40,mg,2040,g,86,g,19,g,9,g,0,g,4,g,8,g,,
651,pizza hut,smaller appetite bone out wings naked w straight cut fries,36,g,30,mg,1730,g,85,g,17,g,7,g,0,g,4,g,7,g,,
652,pizza hut,smaller appetite sauteed spaghetti with marinara w garlic bread,28,g,5,mg,790,g,64,g,14,g,6,g,0,g,7,g,6,g,,
653,pizza hut,smaller appetite sauteed spaghetti with meat sauce w garlic bread,33,g,20,mg,950,g,64,g,18,g,7,g,0.5,g,7,g,6,g,,
654,pizza hut,smoky garlic bone out wing each,6,g,10,mg,220,g,9,g,5,g,1,g,0,g,0,g,2,g,,
